"Snow_Course_Name","Number","Elevation_metres","Date_of_Survey","Snow_Depth_cm","Water_Equiv_mm","Survey_Code","percent_Normal","Density_pecent","Survey_Period","Normal_mm"
"GERRARD","2D01",1620,"3/31/1944",112,277,NA,NA,25,"April_1",NA
"SANDON","2D03",1072,"3/31/1944",66,193,NA,58,29,"April_1",330
"NELSON","2D04",952,"3/31/1944",63,201,NA,60,32,"April_1",334
"GROUSE MOUNTAIN","3A01",1126,"3/31/1944",180,767,NA,66,43,"April_1",1160
"KIMBERLEY","2C03",1160,"4/1/1944",0,0,NA,NA,NA,"April_1",NA
"TASHME","3D01",670,"4/1/1944",0,0,NA,NA,NA,"April_1",NA
"NELSON","2D04",952,"1/27/1945",86,188,NA,71,22,"February_1",264
"FARRON","2B02",1220,"1/28/1945",84,188,NA,70,22,"February_1",269
"BLUE RIVER","1E01",690,"1/29/1945",84,178,NA,NA,21,"February_1",NA
"BROOKMERE","1C01",994,"1/29/1945",25,41,NA,29,16,"February_1",142
"GLACIER","2A02",1249,"1/30/1945",104,264,NA,56,25,"February_1",468
"TROUT CREEK","2F01",1428,"1/30/1945",48,71,NA,56,15,"February_1",127
"MCCULLOCH","2F03",1266,"1/30/1945",56,107,NA,91,19,"February_1",117
"TASHME","3D01",670,"1/30/1945",0,0,NA,NA,NA,"February_1",NA
"FIELD","2A03A",1310,"1/31/1945",46,76,NA,62,17,"February_1",123
"REVELSTOKE","2B01",560,"1/31/1945",69,196,NA,103,28,"February_1",190
"FERNIE","2C02",1070,"2/5/1945",48,94,NA,73,20,"February_1",128
"FARRON","2B02",1220,"2/25/1945",97,262,NA,83,27,"March_1",317
"BLUE RIVER","1E01",690,"2/26/1945",99,246,NA,NA,25,"March_1",NA
"FERNIE","2C02",1070,"2/26/1945",33,94,NA,65,28,"March_1",145
"TROUT CREEK","2F01",1428,"2/26/1945",56,112,NA,72,20,"March_1",156
"BROOKMERE","1C01",994,"2/27/1945",48,53,NA,32,11,"March_1",167
"GLACIER","2A02",1249,"2/27/1945",135,368,NA,63,27,"March_1",585
"NELSON","2D04",952,"2/27/1945",112,279,NA,85,25,"March_1",328
"CANOE RIVER","2A01A",866,"2/28/1945",46,69,NA,78,15,"March_1",89
"FIELD","2A03A",1310,"2/28/1945",56,97,NA,66,17,"March_1",147
"REVELSTOKE","2B01",560,"2/28/1945",91,259,NA,114,28,"March_1",228
"KIMBERLEY","2C03",1160,"2/28/1945",43,107,NA,NA,25,"March_1",NA
"MCCULLOCH","2F03",1266,"2/28/1945",79,165,NA,113,21,"March_1",146
"TASHME","3D01",670,"2/28/1945",15,30,NA,NA,20,"March_1",NA
"POWELL RIVER (UPPER)","3A02",1002,"3/23/1945",274,721,"B",74,26,"April_1",969
"POWELL RIVER (LOWER)","3A05",882,"3/23/1945",206,503,"B",77,24,"April_1",651
"TASHME","3D01",670,"3/23/1945",0,0,"B",NA,NA,"April_1",NA
"KINBASKET LAKE","2A05",690,"3/25/1945",81,409,NA,NA,50,"April_1",NA
"POWELL RIVER","3A03",940,"3/25/1945",419,1356,NA,NA,32,"April_1",NA
"POWELL RIVER","3A06",810,"3/25/1945",284,762,NA,NA,27,"April_1",NA
"FARRON","2B02",1220,"3/26/1945",117,351,NA,96,30,"April_1",364
"POWELL RIVER","3A04",670,"3/26/1945",137,419,NA,NA,31,"April_1",NA
"UPPER STAVE RIVER","1D03",140,"3/27/1945",3,5,NA,NA,17,"April_1",NA
"SINCLAIR PASS","2C01",1374,"3/27/1945",33,137,NA,126,42,"April_1",109
"SUMMERLAND RESERVOIR","2F02",1304,"3/27/1945",84,218,NA,111,26,"April_1",197
"CYPRESS LAKE","1D02",340,"3/28/1945",36,155,NA,NA,43,"April_1",NA
"INVERMERE","2A04A",1070,"3/28/1945",30,127,NA,NA,42,"April_1",NA
"TROUT CREEK","2F01",1428,"3/28/1945",66,155,NA,96,23,"April_1",161
"MCCULLOCH","2F03",1266,"3/28/1945",71,201,NA,152,28,"April_1",132
"ALOUETTE LAKE","1D04",460,"3/29/1945",18,81,NA,NA,45,"April_1",NA
"CANOE RIVER","2A01A",866,"3/29/1945",38,79,NA,122,21,"April_1",65
"FERNIE","2C02",1070,"3/29/1945",25,94,NA,99,38,"April_1",95
"NELSON","2D04",952,"3/29/1945",119,363,NA,109,31,"April_1",334
"GLACIER","2A02",1249,"3/30/1945",152,455,NA,68,30,"April_1",670
"GERRARD","2D01",1620,"3/30/1945",152,518,NA,NA,34,"April_1",NA
"MISSION CREEK","2F05",1780,"3/30/1945",155,488,NA,101,31,"April_1",485
"BLUE RIVER","1E01",690,"3/31/1945",94,231,NA,64,25,"April_1",362
"FIELD","2A03A",1310,"3/31/1945",41,79,NA,58,19,"April_1",137
"REVELSTOKE","2B01",560,"3/31/1945",56,211,NA,141,38,"April_1",150
"KIMBERLEY","2C03",1160,"3/31/1945",38,66,NA,NA,17,"April_1",NA
"FERGUSON","2D02",929,"3/31/1945",122,495,NA,90,41,"April_1",550
"SANDON","2D03",1072,"3/31/1945",89,277,NA,84,31,"April_1",330
"DOG MOUNTAIN","3A10",1007,"3/31/1945",361,1100,NA,97,30,"April_1",1137
"BROOKMERE","1C01",994,"4/1/1945",46,99,NA,58,22,"April_1",171
"HOLLYBURN","3A08",1100,"4/1/1945",340,1044,NA,70,31,"April_1",1500
"ABERDEEN LAKE","1F01A",1262,"4/2/1945",63,152,NA,123,24,"April_1",124
"GROUSE MOUNTAIN","3A01",1126,"4/4/1945",262,1064,NA,92,41,"April_1",1160
"BURWELL LAKE","3A07",880,"4/7/1945",373,1275,NA,158,34,"April_1",807
"TROUT CREEK","2F01",1428,"1/28/1946",81,160,NA,126,20,"February_1",127
"FERNIE","2C02",1070,"1/29/1946",99,193,NA,151,19,"February_1",128
"NELSON","2D04",952,"1/29/1946",127,300,NA,114,24,"February_1",264
"BLUE RIVER","1E01",690,"1/30/1946",142,312,NA,NA,22,"February_1",NA
"BROOKMERE","1C01",994,"1/30/1946",109,206,NA,145,19,"February_1",142
"REVELSTOKE","2B01",560,"1/30/1946",124,277,NA,146,22,"February_1",190
"FARRON","2B02",1220,"1/30/1946",117,310,NA,115,26,"February_1",269
"MCCULLOCH","2F03",1266,"1/30/1946",86,196,NA,168,23,"February_1",117
"GLACIER","2A02",1249,"1/31/1946",178,478,NA,102,27,"February_1",468
"FIELD","2A03A",1310,"1/31/1946",74,152,NA,124,21,"February_1",123
"KIMBERLEY","2C03",1160,"1/31/1946",66,163,NA,NA,25,"February_1",NA
"SULLIVAN MINE","2C04",1580,"1/31/1946",104,246,NA,132,24,"February_1",187
"TASHME","3D01",670,"1/31/1946",91,168,NA,NA,18,"February_1",NA
"CANOE RIVER","2A01A",866,"2/24/1946",46,102,NA,115,22,"March_1",89
"FERNIE","2C02",1070,"2/26/1946",84,239,NA,165,28,"March_1",145
"NELSON","2D04",952,"2/26/1946",132,394,NA,120,30,"March_1",328
"REVELSTOKE","2B01",560,"2/27/1946",114,373,NA,164,33,"March_1",228
"FARRON","2B02",1220,"2/27/1946",132,389,NA,123,29,"March_1",317
"TROUT CREEK","2F01",1428,"2/27/1946",91,226,NA,145,25,"March_1",156
"MCCULLOCH","2F03",1266,"2/27/1946",89,249,NA,171,28,"March_1",146
"BLUE RIVER","1E01",690,"2/28/1946",127,241,NA,NA,19,"March_1",NA
"BROOKMERE","1C01",994,"2/28/1946",107,279,NA,167,26,"March_1",167
"GLACIER","2A02",1249,"2/28/1946",216,678,NA,116,31,"March_1",585
"FIELD","2A03A",1310,"2/28/1946",74,150,NA,102,20,"March_1",147
"KIMBERLEY","2C03",1160,"2/28/1946",66,147,NA,NA,22,"March_1",NA
"TASHME","3D01",670,"2/28/1946",53,122,NA,NA,23,"March_1",NA
"SULLIVAN MINE","2C04",1580,"3/1/1946",114,320,NA,136,28,"March_1",235
"POWELL RIVER (UPPER)","3A02",1002,"3/22/1946",348,1306,"B",135,38,"April_1",969
"POWELL RIVER (LOWER)","3A05",882,"3/22/1946",297,1077,"B",165,36,"April_1",651
"KINBASKET LAKE","2A05",690,"3/24/1946",112,470,NA,NA,42,"April_1",NA
"POWELL RIVER","3A04",670,"3/24/1946",203,815,NA,NA,40,"April_1",NA
"SINCLAIR PASS","2C01",1374,"3/25/1946",63,175,NA,161,28,"April_1",109
"POWELL RIVER","3A03",940,"3/25/1946",526,1173,NA,NA,22,"April_1",NA
"POWELL RIVER","3A06",810,"3/25/1946",424,1001,NA,NA,24,"April_1",NA
"GROUSE MOUNTAIN","3A01",1126,"3/26/1946",721,2497,NA,215,35,"April_1",1160
"CANOE RIVER","2A01A",866,"3/27/1946",58,76,NA,117,13,"April_1",65
"FIELD","2A03A",1310,"3/27/1946",63,163,NA,119,26,"April_1",137
"INVERMERE","2A04A",1070,"3/27/1946",71,155,NA,NA,22,"April_1",NA
"BURWELL LAKE","3A07",880,"3/27/1946",744,2609,NA,323,35,"April_1",807
"FERNIE","2C02",1070,"3/28/1946",71,246,NA,259,35,"April_1",95
"SUMMERLAND RESERVOIR","2F02",1304,"3/28/1946",99,328,NA,166,33,"April_1",197
"MCCULLOCH","2F03",1266,"3/28/1946",76,239,NA,181,31,"April_1",132
"ALOUETTE LAKE","1D04",460,"3/29/1946",0,0,NA,NA,NA,"April_1",NA
"FARRON","2B02",1220,"3/29/1946",114,399,NA,110,35,"April_1",364
"KIMBERLEY","2C03",1160,"3/29/1946",48,165,NA,NA,34,"April_1",NA
"TROUT CREEK","2F01",1428,"3/29/1946",89,234,NA,145,26,"April_1",161
"MISSION CREEK","2F05",1780,"3/29/1946",175,650,NA,134,37,"April_1",485
"PALISADE LAKE","3A09",898,"3/29/1946",765,2845,NA,215,37,"April_1",1322
"BLUE RIVER","1E01",690,"3/30/1946",109,394,NA,109,36,"April_1",362
"CYPRESS LAKE","1D02",340,"3/30/1946",104,424,NA,NA,41,"April_1",NA
"GLACIER","2A02",1249,"3/30/1946",213,815,NA,122,38,"April_1",670
"SULLIVAN MINE","2C04",1580,"3/30/1946",117,343,NA,126,29,"April_1",272
"GERRARD","2D01",1620,"3/30/1946",175,422,NA,NA,24,"April_1",NA
"NELSON","2D04",952,"3/30/1946",130,475,NA,142,37,"April_1",334
"BROOKMERE","1C01",994,"3/31/1946",94,307,NA,180,33,"April_1",171
"UPPER STAVE RIVER","1D03",140,"3/31/1946",0,0,NA,NA,NA,"April_1",NA
"ABERDEEN LAKE","1F01A",1262,"3/31/1946",61,201,NA,162,33,"April_1",124
"REVELSTOKE","2B01",560,"3/31/1946",86,363,NA,242,42,"April_1",150
"FERGUSON","2D02",929,"3/31/1946",175,790,NA,144,45,"April_1",550
"SANDON","2D03",1072,"3/31/1946",94,366,NA,111,39,"April_1",330
"LOCH LOMOND","3A11",900,"4/1/1946",775,3708,NA,396,48,"April_1",936
"TASHME","3D01",670,"4/2/1946",13,43,NA,NA,33,"April_1",NA
"DOG MOUNTAIN","3A10",1007,"4/4/1946",391,1440,NA,127,37,"April_1",1137
"HOLLYBURN","3A08",1100,"4/5/1946",361,1013,NA,68,28,"April_1",1500
"SINCLAIR PASS","2C01",1374,"4/29/1946",3,15,NA,41,50,"May_1",37
"NELSON","2D04",952,"4/29/1946",18,89,"A",62,49,"May_1",143
"GLACIER","2A02",1249,"4/30/1946",173,803,NA,125,46,"May_1",643
"FARRON","2B02",1220,"4/30/1946",20,74,NA,28,37,"May_1",269
"FERNIE","2C02",1070,"4/30/1946",5,23,NA,105,46,"May_1",22
"FERGUSON","2D02",929,"4/30/1946",119,574,NA,134,48,"May_1",429
"SANDON","2D03",1072,"4/30/1946",25,119,NA,264,48,"May_1",45
"TROUT CREEK","2F01",1428,"4/30/1946",43,119,NA,213,28,"May_1",56
"MCCULLOCH","2F03",1266,"4/30/1946",33,104,NA,867,32,"May_1",12
"BROOKMERE","1C01",994,"5/1/1946",33,104,NA,160,32,"May_1",65
"SULLIVAN MINE","2C04",1580,"5/2/1946",25,104,NA,57,42,"May_1",182
"FERNIE","2C02",1070,"1/8/1947",71,201,"B",264,28,"January_1",76
"MOUNT REVELSTOKE","2A06",1830,"1/28/1947",287,897,NA,108,31,"February_1",827
"NELSON","2D04",952,"1/28/1947",112,328,NA,124,29,"February_1",264
"FERNIE","2C02",1070,"1/29/1947",81,259,NA,202,32,"February_1",128
"TROUT CREEK","2F01",1428,"1/29/1947",63,124,NA,98,20,"February_1",127
"GLACIER","2A02",1249,"1/30/1947",183,432,NA,92,24,"February_1",468
"FIELD","2A03A",1310,"1/30/1947",63,124,NA,101,20,"February_1",123
"FARRON","2B02",1220,"1/30/1947",109,262,NA,97,24,"February_1",269
"SULLIVAN MINE","2C04",1580,"1/30/1947",122,300,NA,160,25,"February_1",187
"MCCULLOCH","2F03",1266,"1/30/1947",63,137,NA,117,22,"February_1",117
"TASHME","3D01",670,"1/30/1947",48,124,NA,NA,26,"February_1",NA
"BROOKMERE","1C01",994,"1/31/1947",86,198,NA,139,23,"February_1",142
"KICKING HORSE","2A07",1648,"1/31/1947",119,335,NA,148,28,"February_1",227
"REVELSTOKE","2B01",560,"1/31/1947",112,208,NA,109,19,"February_1",190
"KIMBERLEY","2C03",1160,"1/31/1947",81,170,NA,NA,21,"February_1",NA
"BLUE RIVER","1E01",690,"2/1/1947",114,305,NA,NA,27,"February_1",NA
"KLESILKWA","3D03",610,"2/3/1947",86,203,NA,NA,24,"February_1",NA
"CANOE RIVER","2A01A",866,"2/23/1947",58,109,NA,122,19,"March_1",89
"MOUNT REVELSTOKE","2A06",1830,"2/26/1947",312,1245,NA,122,40,"March_1",1024
"FARRON","2B02",1220,"2/26/1947",84,277,NA,87,33,"March_1",317
"TROUT CREEK","2F01",1428,"2/26/1947",69,157,NA,101,23,"March_1",156
"FIELD","2A03A",1310,"2/27/1947",74,165,NA,112,22,"March_1",147
"REVELSTOKE","2B01",560,"2/27/1947",112,399,NA,175,36,"March_1",228
"FERNIE","2C02",1070,"2/27/1947",79,269,NA,186,34,"March_1",145
"MCCULLOCH","2F03",1266,"2/27/1947",58,163,NA,112,28,"March_1",146
"TASHME","3D01",670,"2/27/1947",13,36,NA,NA,28,"March_1",NA
"KLESILKWA","3D03",610,"2/27/1947",46,135,NA,NA,29,"March_1",NA
"BROOKMERE","1C01",994,"2/28/1947",97,257,NA,154,26,"March_1",167
"GLACIER","2A02",1249,"2/28/1947",203,787,NA,135,39,"March_1",585
"KICKING HORSE","2A07",1648,"2/28/1947",140,269,NA,96,19,"March_1",279
"NELSON","2D04",952,"2/28/1947",107,371,NA,113,35,"March_1",328
"NEW TASHME","3D01A",700,"2/28/1947",81,272,NA,216,34,"March_1",126
"BLUE RIVER","1E01",690,"3/1/1947",117,290,NA,NA,25,"March_1",NA
"KIMBERLEY","2C03",1160,"3/1/1947",71,236,NA,NA,33,"March_1",NA
"SULLIVAN MINE","2C04",1580,"3/1/1947",130,386,NA,164,30,"March_1",235
"MARBLE CANYON","2C05",1520,"3/1/1947",142,333,NA,110,23,"March_1",302
"KINBASKET LAKE","2A05",690,"3/23/1947",142,389,NA,NA,27,"April_1",NA
"POWELL RIVER","3A03",940,"3/23/1947",340,1717,NA,NA,51,"April_1",NA
"POWELL RIVER","3A04",670,"3/23/1947",114,472,NA,NA,41,"April_1",NA
"POWELL RIVER","3A06",810,"3/23/1947",213,968,NA,NA,45,"April_1",NA
"GROUSE MOUNTAIN","3A01",1126,"3/24/1947",216,1008,"B",87,47,"April_1",1160
"SUMMERLAND RESERVOIR","2F02",1304,"3/25/1947",69,168,NA,85,24,"April_1",197
"BURWELL LAKE","3A07",880,"3/25/1947",249,1135,NA,141,46,"April_1",807
"TROUT CREEK","2F01",1428,"3/26/1947",56,157,NA,98,28,"April_1",161
"PALISADE LAKE","3A09",898,"3/26/1947",279,1204,NA,91,43,"April_1",1322
"LIGHTNING LAKE","3D02",1254,"3/26/1947",117,185,NA,67,16,"April_1",278
"CYPRESS LAKE","1D02",340,"3/27/1947",48,193,NA,NA,40,"April_1",NA
"MARBLE CANYON","2C05",1520,"3/27/1947",135,287,NA,85,21,"April_1",336
"UPPER STAVE RIVER","1D03",140,"3/28/1947",0,0,NA,NA,NA,"April_1",NA
"ALOUETTE LAKE","1D04",460,"3/28/1947",0,0,NA,NA,NA,"April_1",NA
"MOUNT REVELSTOKE","2A06",1830,"3/28/1947",300,1186,NA,101,40,"April_1",1180
"MCCULLOCH","2F03",1266,"3/28/1947",46,142,NA,108,31,"April_1",132
"SINCLAIR PASS","2C01",1374,"3/29/1947",41,119,NA,109,29,"April_1",109
"GERRARD","2D01",1620,"3/29/1947",127,401,NA,NA,32,"April_1",NA
"MISSION CREEK","2F05",1780,"3/29/1947",130,455,NA,94,35,"April_1",485
"LOCH LOMOND","3A11",900,"3/29/1947",284,1288,NA,138,45,"April_1",936
"ABERDEEN LAKE","1F01A",1262,"3/30/1947",36,99,NA,80,28,"April_1",124
"CANOE RIVER","2A01A",866,"3/30/1947",36,102,NA,157,28,"April_1",65
"FIELD","2A03A",1310,"3/30/1947",56,152,NA,111,27,"April_1",137
"REVELSTOKE","2B01",560,"3/30/1947",91,340,NA,227,37,"April_1",150
"KIMBERLEY","2C03",1160,"3/30/1947",38,124,NA,NA,33,"April_1",NA
"BOULEAU CREEK","2F06",1520,"3/30/1947",56,201,NA,NA,36,"April_1",NA
"BLUE RIVER","1E01",690,"3/31/1947",109,343,NA,95,31,"April_1",362
"BROOKMERE","1C01",994,"3/31/1947",91,269,NA,157,30,"April_1",171
"GLACIER","2A02",1249,"3/31/1947",180,775,NA,116,43,"April_1",670
"INVERMERE","2A04A",1070,"3/31/1947",56,122,NA,NA,22,"April_1",NA
"KICKING HORSE","2A07",1648,"3/31/1947",109,340,NA,107,31,"April_1",317
"FARRON","2B02",1220,"3/31/1947",38,165,NA,45,43,"April_1",364
"FERNIE","2C02",1070,"3/31/1947",48,190,NA,200,40,"April_1",95
"SULLIVAN MINE","2C04",1580,"3/31/1947",112,345,NA,127,31,"April_1",272
"FERGUSON","2D02",929,"3/31/1947",135,668,NA,121,49,"April_1",550
"SANDON","2D03",1072,"3/31/1947",81,312,NA,95,39,"April_1",330
"NEW TASHME","3D01A",700,"3/31/1947",56,185,NA,243,33,"April_1",76
"NELSON","2D04",952,"4/1/1947",86,338,NA,101,39,"April_1",334
"TASHME","3D01",670,"4/1/1947",0,0,NA,NA,NA,"April_1",NA
"KLESILKWA","3D03",610,"4/1/1947",0,0,NA,NA,NA,"April_1",NA
"DOG MOUNTAIN","3A10",1007,"4/3/1947",257,1171,NA,103,46,"April_1",1137
"HOLLYBURN","3A08",1100,"4/4/1947",236,1097,NA,73,46,"April_1",1500
"FARRON","2B02",1220,"4/26/1947",0,0,NA,0,NA,"May_1",269
"SINCLAIR PASS","2C01",1374,"4/27/1947",3,5,NA,14,17,"May_1",37
"MOUNT REVELSTOKE","2A06",1830,"4/28/1947",279,1684,NA,133,60,"May_1",1262
"FERNIE","2C02",1070,"4/28/1947",0,0,NA,0,NA,"May_1",22
"SULLIVAN MINE","2C04",1580,"4/29/1947",46,198,NA,109,43,"May_1",182
"BROOKMERE","1C01",994,"4/30/1947",18,53,NA,82,29,"May_1",65
"GLACIER","2A02",1249,"4/30/1947",127,632,NA,98,50,"May_1",643
"KICKING HORSE","2A07",1648,"4/30/1947",33,117,NA,40,35,"May_1",296
"MARBLE CANYON","2C05",1520,"4/30/1947",86,282,NA,104,33,"May_1",270
"FERGUSON","2D02",929,"4/30/1947",69,363,NA,85,53,"May_1",429
"MCCULLOCH","2F03",1266,"4/30/1947",3,5,NA,42,17,"May_1",12
"SANDON","2D03",1072,"5/1/1947",NA,NA,"N",NA,NA,"May_1",NA
"TROUT CREEK","2F01",1428,"5/1/1947",NA,NA,"N",NA,NA,"May_1",NA
"FERNIE","2C02",1070,"1/6/1948",63,104,NA,137,17,"January_1",76
"TROUT CREEK","2F01",1428,"1/25/1948",53,127,NA,100,24,"February_1",127
"NEW TASHME","3D01A",700,"1/28/1948",51,132,NA,105,26,"February_1",126
"MOUNT REVELSTOKE","2A06",1830,"1/29/1948",193,650,NA,79,34,"February_1",827
"FARRON","2B02",1220,"1/29/1948",71,188,NA,70,26,"February_1",269
"TASHME","3D01",670,"1/29/1948",28,71,NA,NA,25,"February_1",NA
"BLUE RIVER","1E01",690,"1/30/1948",97,226,NA,NA,23,"February_1",NA
"KICKING HORSE","2A07",1648,"1/30/1948",97,241,NA,106,25,"February_1",227
"REVELSTOKE","2B01",560,"1/30/1948",58,163,NA,86,28,"February_1",190
"FERNIE","2C02",1070,"1/30/1948",58,124,NA,97,21,"February_1",128
"MARBLE CANYON","2C05",1520,"1/30/1948",81,221,NA,92,27,"February_1",240
"NELSON","2D04",952,"1/30/1948",89,229,NA,87,26,"February_1",264
"MCCULLOCH","2F03",1266,"1/30/1948",46,102,NA,87,22,"February_1",117
"BROOKMERE","1C01",994,"1/31/1948",56,142,NA,100,25,"February_1",142
"GLACIER","2A02",1249,"1/31/1948",117,361,NA,77,31,"February_1",468
"FIELD","2A03A",1310,"1/31/1948",56,119,NA,97,21,"February_1",123
"OLD GLORY MOUNTAIN","2B03",2130,"1/31/1948",142,452,NA,NA,32,"February_1",NA
"SINCLAIR PASS","2C01",1374,"1/31/1948",43,89,NA,116,21,"February_1",77
"KIMBERLEY","2C03",1160,"1/31/1948",51,122,NA,NA,24,"February_1",NA
"SULLIVAN MINE","2C04",1580,"1/31/1948",76,190,NA,102,25,"February_1",187
"UPPER ELK RIVER","2C06",1340,"1/31/1948",56,127,NA,165,23,"February_1",77
"KLESILKWA","3D03A",1134,"2/1/1948",NA,NA,"N",NA,NA,"February_1",NA
"REVELSTOKE","2B01",560,"2/26/1948",130,305,NA,134,23,"March_1",228
"BLUE RIVER","1E01",690,"2/27/1948",127,328,NA,NA,26,"March_1",NA
"GLACIER","2A02",1249,"2/27/1948",180,533,NA,91,30,"March_1",585
"KICKING HORSE","2A07",1648,"2/27/1948",140,338,NA,121,24,"March_1",279
"MARBLE CANYON","2C05",1520,"2/27/1948",124,302,NA,100,24,"March_1",302
"NELSON","2D04",952,"2/27/1948",135,338,NA,103,25,"March_1",328
"TROUT CREEK","2F01",1428,"2/27/1948",81,160,NA,103,20,"March_1",156
"FIELD","2A03A",1310,"2/28/1948",79,155,NA,105,20,"March_1",147
"SULLIVAN MINE","2C04",1580,"2/28/1948",122,310,NA,132,25,"March_1",235
"MCCULLOCH","2F03",1266,"2/28/1948",74,152,NA,104,21,"March_1",146
"BROOKMERE","1C01",994,"2/29/1948",97,226,NA,135,23,"March_1",167
"CANOE RIVER","2A01A",866,"2/29/1948",71,155,NA,174,22,"March_1",89
"MOUNT REVELSTOKE","2A06",1830,"2/29/1948",287,846,NA,83,29,"March_1",1024
"FARRON","2B02",1220,"2/29/1948",107,272,NA,86,25,"March_1",317
"OLD GLORY MOUNTAIN","2B03",2130,"2/29/1948",190,592,NA,NA,31,"March_1",NA
"SINCLAIR PASS","2C01",1374,"2/29/1948",69,150,NA,146,22,"March_1",103
"KIMBERLEY","2C03",1160,"2/29/1948",79,185,NA,NA,23,"March_1",NA
"FERNIE","2C02",1070,"3/1/1948",81,206,NA,142,25,"March_1",145
"KLESILKWA","3D03A",1134,"3/1/1948",NA,NA,"N",NA,NA,"March_1",NA
"TASHME","3D01",670,"3/2/1948",89,229,NA,NA,26,"March_1",NA
"NEW TASHME","3D01A",700,"3/2/1948",119,317,NA,252,27,"March_1",126
"UPPER ELK RIVER","2C06",1340,"3/3/1948",97,211,NA,229,22,"March_1",92
"POWELL RIVER","3A04",670,"3/24/1948",310,1115,NA,NA,36,"April_1",NA
"LOCH LOMOND","3A11",900,"3/24/1948",417,1504,"B",161,36,"April_1",936
"FARRON","2B02",1220,"3/25/1948",84,274,NA,75,33,"April_1",364
"POWELL RIVER","3A03",940,"3/25/1948",554,2179,NA,NA,39,"April_1",NA
"POWELL RIVER","3A06",810,"3/25/1948",406,1529,NA,NA,38,"April_1",NA
"LIGHTNING LAKE","3D02",1254,"3/25/1948",140,371,NA,133,27,"April_1",278
"GROUSE MOUNTAIN","3A01",1126,"3/26/1948",424,1735,NA,150,41,"April_1",1160
"KINBASKET LAKE","2A05",690,"3/27/1948",140,335,NA,NA,24,"April_1",NA
"MCCULLOCH","2F03",1266,"3/27/1948",69,168,NA,127,24,"April_1",132
"STEELHEAD","1D05",580,"3/28/1948",25,81,NA,NA,32,"April_1",NA
"GLACIER","2A02",1249,"3/28/1948",183,630,NA,94,34,"April_1",670
"BEAVERFOOT","2A11",1924,"3/28/1948",104,231,NA,121,22,"April_1",191
"PALISADE LAKE","3A09",898,"3/28/1948",447,1722,NA,130,39,"April_1",1322
"CYPRESS LAKE","1D02",340,"3/29/1948",185,648,NA,NA,35,"April_1",NA
"INVERMERE","2A04A",1070,"3/29/1948",66,114,NA,NA,17,"April_1",NA
"MARBLE CANYON","2C05",1520,"3/29/1948",130,338,NA,101,26,"April_1",336
"GRAY CREEK (LOWER)","2D05",1558,"3/29/1948",155,498,NA,113,32,"April_1",440
"BURWELL LAKE","3A07",880,"3/29/1948",340,1323,NA,164,39,"April_1",807
"BLUE RIVER","1E01",690,"3/30/1948",114,317,NA,88,28,"April_1",362
"ABERDEEN LAKE","1F01A",1262,"3/30/1948",66,142,NA,115,22,"April_1",124
"MOUNT REVELSTOKE","2A06",1830,"3/30/1948",310,1148,NA,97,37,"April_1",1180
"KICKING HORSE","2A07",1648,"3/30/1948",142,450,NA,142,32,"April_1",317
"SINCLAIR PASS","2C01",1374,"3/30/1948",53,104,NA,95,20,"April_1",109
"GERRARD","2D01",1620,"3/30/1948",152,424,NA,NA,28,"April_1",NA
"NELSON","2D04",952,"3/30/1948",109,384,NA,115,35,"April_1",334
"SUMMERLAND RESERVOIR","2F02",1304,"3/30/1948",76,190,NA,96,25,"April_1",197
"MISSION CREEK","2F05",1780,"3/30/1948",165,556,NA,115,34,"April_1",485
"BOULEAU CREEK","2F06",1520,"3/30/1948",97,246,NA,NA,25,"April_1",NA
"TASHME","3D01",670,"3/30/1948",61,224,NA,NA,37,"April_1",NA
"NEW TASHME","3D01A",700,"3/30/1948",109,333,NA,438,31,"April_1",76
"BROOKMERE","1C01",994,"3/31/1948",97,193,NA,113,20,"April_1",171
"CANOE RIVER","2A01A",866,"3/31/1948",69,152,NA,234,22,"April_1",65
"FIELD","2A03A",1310,"3/31/1948",69,137,NA,100,20,"April_1",137
"BLACKWATER LOOKOUT","2A09",1680,"3/31/1948",196,427,NA,NA,22,"April_1",NA
"BLACKWATER CREEK","2A10",1580,"3/31/1948",175,414,NA,NA,24,"April_1",NA
"REVELSTOKE","2B01",560,"3/31/1948",94,325,NA,217,35,"April_1",150
"OLD GLORY MOUNTAIN","2B03",2130,"3/31/1948",185,612,"A",83,33,"April_1",734
"SULLIVAN MINE","2C04",1580,"3/31/1948",122,373,NA,137,31,"April_1",272
"UPPER ELK RIVER","2C06",1340,"3/31/1948",94,231,NA,462,25,"April_1",50
"FERGUSON","2D02",929,"3/31/1948",168,561,NA,102,33,"April_1",550
"SANDON","2D03",1072,"3/31/1948",89,290,NA,88,33,"April_1",330
"TROUT CREEK","2F01",1428,"3/31/1948",74,190,NA,118,26,"April_1",161
"FERNIE","2C02",1070,"4/1/1948",74,213,NA,224,29,"April_1",95
"KIMBERLEY","2C03",1160,"4/1/1948",61,140,NA,NA,23,"April_1",NA
"POWELL RIVER (UPPER)","3A02",1002,"4/1/1948",NA,NA,"N",NA,NA,"April_1",NA
"KLESILKWA","3D03A",1134,"4/1/1948",132,394,NA,171,30,"April_1",231
"DOG MOUNTAIN","3A10",1007,"4/2/1948",437,2024,NA,178,46,"April_1",1137
"HOLLYBURN","3A08",1100,"4/3/1948",457,1971,NA,131,43,"April_1",1500
